Column,Value
BlockDescriptor,BLK
BlockDescriptor,TOWER
BlockDescriptor,PHASE
BlockDescriptor,HSE
BlockDescriptor,HOUSE
BlockDescriptor,BLKS
BlockDescriptor,CARPARK BLK
BlockDescriptor,COMMERCIAL CENTRE
BlockDescriptor,CARPARK BLDG
BlockDescriptor,COMMERCIAL COMPLEX
BlockDescriptor,UNIT
BlockDescriptor,VILLA
BlockDescriptor,GARAGE
BlockDescriptor,MANSION
BlockDescriptor,FLAT
BlockDescriptor,REAR
BlockDescriptor,FRONT
BlockDescriptor,MIDDLE
BlockDescriptor,QUARTERS
BlockDescriptor,CENTRE
BlockDescriptor,SHOPPING CENTRE
BlockDescriptor,BLDG
BlockDescriptor,COMMERCIAL BLK
BlockDescriptor,SHOPPING ARCADE
BlockDescriptor,HSES
BlockDescriptor,APT
BlockDescriptor,VICAR'S HOUSE
BlockDescriptor,CLUB HSE
BlockDescriptor,DIRECTOR'S HOUSE
BlockDescriptor,TOWERS
BlockDescriptor,STONE MANOR
BlockDescriptor,LOWRISE
BlockDescriptor,STAGE
BlockDescriptor,DWELLING
BlockDescriptor,SHOPPING MALL
BlockDescriptor,VICARAGE
BlockDescriptor,BLOCK
