Column,Value
BuildingName,OHEL LEAH SYNAGOGUE
BuildingName,POKFULAM STATION BUILDING
BuildingName,KAU YAN CHURCH
BuildingName,WESTERN DENTAL CLINIC
BuildingName,SAI YING PUN STATION BUILDING
BuildingName,OLD BAILEY STREET POLICE MARRIED QUARTERS
BuildingName,PENTECOSTAL TABERNACLE
BuildingName,RUMSEY STREET MULTI-STOREY CAR PARK
BuildingName,CENTRAL FIRE STATION
BuildingName,56 PEAK ROAD C
BuildingName,HEADQUARTERS HOUSE
BuildingName,BRITISH TRADE COMMISSION
BuildingName,LO PAN TEMPLE
BuildingName,DAIRY FARM 100 THE PEAK SHOPPING CENTRE
BuildingName,31 BARKER ROAD HOUSE B
BuildingName,CITY HALL CAR PARK
BuildingName,LI SING PRIMARY SCHOOL
BuildingName,31 BARKER ROAD HOUSE C
BuildingName,C & W STAFF QUARTERS
BuildingName,HONG KONG VISUAL ARTS CENTRE
BuildingName,GAGE STREET REFUSE COLLECTION POINT
BuildingName,CHIEF JUSTICE'S HOUSE
BuildingName,GENERAL POST OFFICE
BuildingName,MOTHER'S CHOICE
BuildingName,56 PEAK ROAD A
BuildingName,VILLA VISTA
BuildingName,LONDON MISSION
BuildingName,OXFAM H.K.
BuildingName,VICTORIA PEAK FIRE STATION
BuildingName,KENNEDY TOWN FIRE STATION
BuildingName,TAMAR STATION BUILDING
BuildingName,LA CLARE MANSION BLOCK C
BuildingName,THE PRC MINISTRY OF FOREIGN AFFAIRS BUILDINGS
BuildingName,WEST END PARK SUB-STATION
BuildingName,HONG KONG STATION CENTRAL SEWAGE PUMPING STATION
BuildingName,WESTERN MAGISTRACY
BuildingName,SHUN TAK CENTRE WEST TOWER
BuildingName,BONHAM ROAD GOVERNMENT PRIMARY SCHOOL
BuildingName,LA CLARE MANSION BLOCK A
BuildingName,STAR FERRY CAR PARK
BuildingName,KA FU BUILDING BLOCK A
BuildingName,31 BARKER ROAD HOUSE D
BuildingName,MAN MO TEMPLE
BuildingName,HK
BuildingName,ELLIOT FRESH WATER AND SALT WATER PUMPING STATION
BuildingName,TROLLSTUA
BuildingName,CENTRAL GOVERNMENT PIER
BuildingName,VICTORIA PEAK RADIO STATION OFFICE
BuildingName,VICTORIA HOUSE
BuildingName,CONNAUGHT ROAD STATION BUILDING
BuildingName,"PEAK TRAMWAYS CO., LTD. OFFICE"
BuildingName,QUEENSWAY GOVERNMENT OFFICES
BuildingName,JAMIA MOSQUE
BuildingName,HARBOUR BUILDING
BuildingName,VICTORIA PUBLIC MORTUARY
BuildingName,MT. DAVIS AMBULANCE DEPOT
BuildingName,ZETLAND STREET STATION BUILDING
BuildingName,CENTRAL POLICE STATION
BuildingName,CENTRAL POLICE DISTRICT HEADQUARTERS
BuildingName,GRAHAM MARKET
BuildingName,LEGISLATIVE COUNCIL COMPLEX
BuildingName,CHIEF EXECUTIVE'S OFFICE
BuildingName,HING LUNG HOUSE
BuildingName,KENNEDY TOWN KAI-FONG WELFARE ASSOCIATION
BuildingName,ROBERTS BLOCK
BuildingName,ORIENT CREST BLOCK L
BuildingName,MANAGEMENT OFFICE
BuildingName,UNIVERSITY HEIGHTS TOWER 1
BuildingName,CHONG YIP CENTRE BLOCK B
BuildingName,KELLETT VIEW TOWN HOUSES BLOCK 6
BuildingName,KELLETT VIEW TOWN HOUSES BLOCK 2
BuildingName,MOUNT DAVIS VILLAGE A7
BuildingName,MOUNT DAVIS VILLAGE A6
BuildingName,MOUNT DAVIS VILLAGE A4
BuildingName,MOUNT DAVIS VILLAGE A3
BuildingName,MOUNT DAVIS VILLAGE A2
BuildingName,THE MOUNT AUSTIN HOUSE H
BuildingName,ORIENT CREST BLOCK J
BuildingName,ORIENT CREST BLOCK B
BuildingName,ORIENT CREST BLOCK M
BuildingName,CITY HALL
BuildingName,VILLAS SORRENTO TOWER 2
BuildingName,ROBINSON ROAD 8 SUBSTATION
BuildingName,WING ON VILLAS BLOCK G
BuildingName,WING ON VILLAS BLOCK F
BuildingName,NO.1 PO SHAN ROAD BLOCK 3
BuildingName,THE MOUNT AUSTIN HOUSE B
BuildingName,MOUNT AUSTIN ESTATE BLOCK J
BuildingName,THE MOUNT AUSTIN HOUSE A
BuildingName,MOUNT AUSTIN ESTATE BLOCK K
BuildingName,KELLETT VIEW TOWN HOUSES BLOCK 13
BuildingName,ORIENT CREST BLOCK G
BuildingName,ORIENT CREST BLOCK F
BuildingName,KELLETT VIEW TOWN HOUSES BLOCK 3
BuildingName,STRAWBERRY HILL SUBSTATION
BuildingName,OVERTHORPE BLOCK L
BuildingName,MORRISON HALL
BuildingName,KELLETT VIEW TOWN HOUSES BLOCK 8
BuildingName,ORIENT CREST BLOCK E
BuildingName,ST. STEPHEN'S GIRLS' COLLEGE JUBILEE BUILDING
BuildingName,CHATEAU DE PEAK 8C
BuildingName,CHATEAU DE PEAK 8D
BuildingName,CHATEAU DE PEAK 8F
BuildingName,25 PARK ROAD GOVERNMENT QUARTERS BLOCK B
BuildingName,JUSTICE PLACE EAST WING
