Column,Value
EstateName,KING'S COLLEGE OLD BOYS' ASSOCIATION PRIMARY SCHOOL
EstateName,KAU YAN SCHOOL
EstateName,SAI YING PUN STATION BUILDING (EAST BLOCK)
EstateName,SAN WUI COMMERCIAL SOCIETY SCHOOL
EstateName,OLD BAILEY STREET POLICE MARRIED QUARTERS
EstateName,PENTECOSTAL TABERNACLE
EstateName,EMERALD GARDENS
EstateName,56 PEAK ROAD
EstateName,KA YEE COURT
EstateName,HEADQUARTERS HOUSE
EstateName,FULHAM GARDEN
EstateName,REGENT ON THE PARK
EstateName,31 BARKER ROAD
EstateName,TO LI GARDEN
EstateName,S.K.H. KEI YAN PRIMARY SCHOOL
EstateName,SAI YING PUN STATION BUILDING (WEST BLOCK)
EstateName,GRENVILLE HOUSE
EstateName,KAM YUEN MANSION
EstateName,THE K.S.LO GALLERY
EstateName,LI SING PRIMARY SCHOOL
EstateName,POKFIELD GARDEN
EstateName,HATTON PLACE
EstateName,LONDON MISSION
EstateName,KENNEDY TOWN FIRE STATION
EstateName,TAMAR 275KV SUBSTATION
EstateName,HOP YAT CHURCH THE CHURCH OF CHRIST IN CHINA
EstateName,KENNEDY ROAD ZONE SUBSTATION
EstateName,CONWAY MANSION
EstateName,LA CLARE MANSION
EstateName,LA HACIENDA
EstateName,POKSMITH VILLA
EstateName,HONG KONG STATION CENTRAL SEWAGE PUMPING STATION
EstateName,PO GARDEN
EstateName,SHUN TAK CENTRE
EstateName,BONHAM ROAD GOVERNMENT PRIMARY SCHOOL
EstateName,LOK SIN TONG LEUNG KAU KUI COLLEGE
EstateName,KA FU BUILDING
EstateName,CATHEDRAL OF THE IMMACULATE CONCEPTION CATHOLIC DIOCESE OF HONG KONG
EstateName,SHERWOOD COURT
EstateName,PLANTATION HEIGHTS
EstateName,PINE COURT
EstateName,THE HELENA MAY
EstateName,GARBLE GARDEN
EstateName,HK (WESTERN) SWATON BAPTIST CHURCH
EstateName,POKFULAM STATION BUILDING
EstateName,CENTRAL GOVERNMENT PIER
EstateName,ST JOHN'S CATHEDRAL
EstateName,AXEFORD VILLA
EstateName,ST. STEPHEN'S CHURCH PRIMARY SCHOOL
EstateName,QUEENSWAY GOVERNMENT OFFICES
EstateName,EPD ENVIRONMENTAL INFRASTRUCTURE DIVISION ISLAND WEST TRANSFER STATION
EstateName,SKYVIEW CLIFF
EstateName,UNIVERSITY MUSEUM AND ART GALLERY
EstateName,HARBOUR BUILDING
EstateName,MT. DAVIS AMBULANCE DEPOT
EstateName,PAN VIEW COURT
EstateName,ZETLAND STREET STATION BUILDING
EstateName,HONG KONG PARK
EstateName,THE LANDMARK
EstateName,THE ASIA SOCIETY HONG KONG CENTER
EstateName,WISDOM COURT
EstateName,ORIENT CREST
EstateName,PARKWAY COURT
EstateName,HONG KONG GARDEN
EstateName,SAI WAN ESTATE
EstateName,UNIVERSITY HEIGHTS
EstateName,WESTERN WHOLESALE FOOD MARKET
EstateName,CHONG YIP CENTRE
EstateName,KELLETT VIEW TOWN HOUSES
EstateName,PARK VIEW COURT
EstateName,FUNG SHUI
EstateName,MOUNT DAVIS VILLAGE
EstateName,ON LEE
EstateName,THE MOUNT AUSTIN
EstateName,VILLAS SORRENTO
EstateName,ROBINSON HEIGHTS
EstateName,WING ON VILLAS
EstateName,NO.1 PO SHAN ROAD
EstateName,MOUNT AUSTIN ESTATE
EstateName,STRAWBERRY HILL
EstateName,OVERTHORPE
EstateName,THE UNIVERSITY OF HONG KONG JOCKEY CLUB STUDENT VILLAGE 2
EstateName,ST. STEPHEN'S GIRLS' COLLEGE
EstateName,MATILDA INTERNATIONAL HOSPITAL
EstateName,CHATEAU DE PEAK
EstateName,25 PARK ROAD GOVERNMENT QUARTERS
EstateName,JUSTICE PLACE
EstateName,RAIMONDI COLLEGE
EstateName,CLOUD NINE
EstateName,LADIES' RECREATION CLUB
EstateName,DAVID TRENCH REHABILITATION CENTRE
EstateName,21 BORRETT ROAD
EstateName,THE UNIVERSITY OF HONG KONG JOCKEY CLUB STUDENT VILLAGE 1
EstateName,FRINGE CLUB
EstateName,ST. JOSEPH'S COLLEGE
EstateName,LIAISON OFFICE OF THE CENTRAL PEOPLE'S GOVERNMENT IN THE HONG KONG SPECIAL ADMIN
EstateName,ISLAND CHRISTIAN ACADEMY
EstateName,BONHAM TOWERS
EstateName,CLOUDRIDGE
EstateName,CHING YI TO BARRACKS
EstateName,THE UNIVERSITY OF HONG KONG JOCKEY CLUB STUDENT VILLAGE III
EstateName,VILLA ROSA
EstateName,CENTRAL MARKET
EstateName,SAI YING POON POST OFFICE (FIREMEN'S MARRIED QUARTERS)
EstateName,28 GOUGH HILL ROAD
EstateName,WESTERN POLICE STATION
EstateName,YICK FUNG GARDEN
EstateName,DR SUN YAT-SEN MUSEUM
EstateName,HING WAH MANSION
EstateName,KONG CHIAN TOWER
EstateName,SMITHFIELD COURT
EstateName,SMITHFIELD TERRACE
EstateName,KWAN YICK BUILDING
EstateName,WINNER BUILDING
EstateName,JADE COURT
EstateName,CAPE MANSIONS
EstateName,NEW FORTUNE HOUSE
EstateName,PACIFIC PLACE
EstateName,RUTTONJEE CENTRE
EstateName,EXCHANGE SQUARE
