Column,Value
LocationName,"PUI O, LANTAU ISLAND"
LocationName,"CHEUNG SHA, LANTAU ISLAND"
LocationName,LANTAU ISLAND
LocationName,CHEUNG CHAU
LocationName,LAMMA ISLAND
LocationName,PENG CHAU
LocationName,"MUI WO, LANTAU ISLAND"
LocationName,"TAI O, LANTAU ISLAND"
LocationName,"TUNG CHUNG, LANTAU ISLAND"
LocationName,"SHEK PIK, LANTAU ISLAND"
LocationName,CHEK LAP KOK
LocationName,"CHI MA WAN PENINSULA, LANTAU ISLAND"
LocationName,TUNG CHUNG
LocationName,"FAN LAU, LANTAU ISLAND"
LocationName,"NGONG PING, LANTAU ISLAND"
LocationName,"HZMB HONG KONG PORT, LANTAU ISLAND"
LocationName,KWAI CHUNG
LocationName,"KWAI CHUNG, KWAI CHUNG"
LocationName,TSUEN WAN
LocationName,TSING YI
LocationName,"YAU KOM TAU, TSING YI"
LocationName,FANLING
LocationName,SHEUNG SHUI
LocationName,KWU TUNG
LocationName,"SHEK WU HUI, SHEUNG SHUI"
LocationName,"FANLING, NORTH"
LocationName,TA KWU LING
LocationName,SHA TAU KOK
LocationName,NORTH
LocationName,PING CHE
LocationName,"KWU TUNG, NORTH"
LocationName,TAI PO
LocationName,"LUNG YEUK TAU, FANLING"
LocationName,"TA KWU LING, FANLING"
LocationName,"LUNG YEUK TAU, NORTH"
LocationName,YING PUN
LocationName,KAT O
LocationName,"TA KWU LING, NORTH"
LocationName,"SHA TAU KOK, NORTH"
LocationName,"TA KU LING, FANLING"
LocationName,"SHEUNG SHUI, NORTH"
LocationName,"SHEK CHUNG AU, NORTH"
LocationName,"LUNG YEUK TAU, SHEUNG SHUI"
LocationName,"MA MEI HA, NORTH"
LocationName,"FANLING, FANLING"
LocationName,YIN LIU
LocationName,"LUEN WO MARKET, FANLING"
LocationName,"PING SHAN, YUEN LONG"
LocationName,YUEN LONG
LocationName,SAI KUNG
LocationName,CLEAR WATER BAY
LocationName,"HANG HAU, SAI KUNG"
LocationName,"MANG KUNG UK, HANG HAU, SAI KUNG"
LocationName,TSEUNG KWAN O
LocationName,"SILVERSTRAND, SAI KUNG"
LocationName,"HO CHUNG, SAI KUNG"
LocationName,"HEBE HAVEN, SAI KUNG"
LocationName,"TAI PO TSAI, SAI KUNG"
LocationName,TA KU LING
LocationName,"A KUNG WAN, SAI KUNG"
LocationName,"PAK SHEK WO, SAI KUNG"
LocationName,"SHEUNG YEUNG, SAI KUNG"
LocationName,"TA KU LING, SAI KUNG"
LocationName,"TSEUNG KWAN O, SAI KUNG"
LocationName,"TUI MIN HOI, SAI KUNG"
