Column,Value
PhaseName,PHASE III
PhaseName,PHASE II
PhaseName,PHASE I
PhaseName,KWUN HOI TERRACE
PhaseName,KAO SHAN TERRACE
PhaseName,SING FAI TERRACE
PhaseName,HARBOUR VIEW GARDENS
PhaseName,HORIZON GARDENS
PhaseName,2ND STAGE
PhaseName,ON SHING TERRACE
PhaseName,KAM DIN TERRACE
PhaseName,TSUI WOO TERRACE
PhaseName,STAGE 3
PhaseName,PENINSULA VILLAGE
PhaseName,BEACH VILLAGE
PhaseName,GREENVALE VILLAGE
PhaseName,MIDVALE VILLAGE
PhaseName,PARKVALE VILLAGE
PhaseName,LA VISTA
PhaseName,HEADLAND VILLAGE
PhaseName,NEO HORIZON
PhaseName,POSITANO
PhaseName,MONTEREY COVE
PhaseName,CARMEL COVE
PhaseName,CHIANTI
PhaseName,SIENA ONE
PhaseName,LA SERENE
PhaseName,LA COSTA
PhaseName,DB PLAZA
PhaseName,ALBANY COVE
PhaseName,SIENA TWO
PhaseName,CRYSTAL COVE
PhaseName,PARKRIDGE VILLAGE
PhaseName,AMALFI
PhaseName,HILLGROVE VILLAGE
PhaseName,POGGIBONSI
PhaseName,LA MER
PhaseName,COTTON TREE MANSIONS
PhaseName,BANYAN MANSIONS
PhaseName,CHERRY MANSIONS
PhaseName,PALM MANSIONS
PhaseName,LILY MANSIONS
PhaseName,HANG CHIEN COURT
PhaseName,WEI CHIEN COURT
PhaseName,CHONG CHIEN COURT
PhaseName,WILLOW MANSIONS
PhaseName,JUNIPER MANSIONS
PhaseName,OAK MANSIONS
PhaseName,BAMBOO MANSIONS
PhaseName,COSTA DEL SOL
PhaseName,BAUHINIA MANSIONS
PhaseName,VILLA VERDE
PhaseName,LAGUNA GRANDE
PhaseName,THE GREENWOOD
PhaseName,OCEAN VISTA
PhaseName,PHASE 1
PhaseName,PHASE 2
PhaseName,PHASE 3
PhaseName,LOTUS TOWER
PhaseName,PH 7 & 8
PhaseName,VALAIS II
PhaseName,VALAIS I
PhaseName,THE METROPOLIS (PH III)
PhaseName,THE CAPITOL
PhaseName,LE PRESTIGE
PhaseName,LE PRESTIGE LE PRIME
PhaseName,HEMERA
PhaseName,MALIBU
PhaseName,LP6
PhaseName,WINGS AT SEA
PhaseName,LE PRESTIGE LA SPLENDEUR
PhaseName,STAGE I
PhaseName,STAGE III
PhaseName,STAGE IV
PhaseName,STAGE VIII
PhaseName,STAGE V
PhaseName,STAGE VI
PhaseName,STAGE VII
PhaseName,PHASE B
PhaseName,STAGE II
PhaseName,TROPICANA
PhaseName,DYNASTY VILLA
PhaseName,PHASE C
PhaseName,PHASE A
PhaseName,SKYLODGE
PhaseName,PHASE 4
PhaseName,THE TOLO PLACE
PhaseName,STAGE 1
PhaseName,STAGE 2
PhaseName,SHA TIN RACECOURSE
PhaseName,STARVIEW PRIME
PhaseName,SUMMIT
PhaseName,GRANDVIEW
PhaseName,STARVIEW
PhaseName,CROWN OF ST. BARTHS
PhaseName,YAR CHEE VILLAS
PhaseName,THE OASIS
PhaseName,ISLAND SOUTH
PhaseName,BEL-AIR ON THE PEAK
PhaseName,VILLA RHAPSODY
PhaseName,VILLA CONCERTO
PhaseName,GRAND DYNASTY VIEW
PhaseName,ANACAPRI
PhaseName,THE TOP
PhaseName,THE TERRACE
PhaseName,THE LAGUNA
PhaseName,THE HIGHLAND
PhaseName,THE GATEWAY
PhaseName,SORRENTO
PhaseName,THE WATERFRONT
PhaseName,ELEMENTS
PhaseName,THE ARCH
PhaseName,THE HARBOURSIDE
PhaseName,THE CULLINAN
PhaseName,KENSWOOD COURT
PhaseName,LYNWOOD COURT
PhaseName,SHERWOOD COURT
PhaseName,CHESTWOOD COURT
PhaseName,MAYWOOD COURT
PhaseName,LA PRADERA
PhaseName,LOCWOOD COURT
PhaseName,(PHASE II)
PhaseName,REACH SUMMIT
PhaseName,WESTWOOD
PhaseName,MONTEREY
PhaseName,ARCADIA
PhaseName,VENTURA
PhaseName,PALOMA
PhaseName,LA GRANDE VINEYARD
