Column,Value
VillageName,A KUNG NGAM
VillageName,NORTH POINT TERRACE
VillageName,MOK KA
VillageName,NIM SHUE WAN VILLAGE
VillageName,CHEUNG SHA HA TSUEN
VillageName,BELA VISTA VILLA
VillageName,SHAN TING TSUEN
VillageName,SHA LO WAN TSUEN 1ST LANE
VillageName,WONG NAI UK
VillageName,WANG TONG
VillageName,NAM BIN WAI
VillageName,KO SHAN TSUEN
VillageName,YUEN LING TSAI
VillageName,LUK TEI TONG
VillageName,CHUNG HAU
VillageName,NAM WAN SAN TSUEN
VillageName,WING KWONG STREET
VillageName,PUI O LO WAI TSUEN PUI O AU
VillageName,MA WAN CHUNG
VillageName,SIENA ONE DRIVE
VillageName,LUK CHAU VILLAGE
VillageName,TAI LUNG TSUEN
VillageName,SHA LO WAN TSUEN 4TH LANE
VillageName,TAI TEI TONG
VillageName,TUNG WAN TAU
VillageName,CHUNG TSAI TSUEN
VillageName,SHA LO WAN TSUEN 5TH LANE
VillageName,SHAM WAT
VillageName,NGAU AU
VillageName,SHEK MUN KAP
VillageName,WING ON TERRACE
VillageName,NAM CHUNG TSUEN
VillageName,LEUNG UK TSUEN
VillageName,TSENG TAU SAN TSUEN
VillageName,LUNG TSAI TSUEN
VillageName,SHA LO WAN TSUEN 2ND LANE
VillageName,SHAM SHEK TSUEN
VillageName,SHEUNG LING PEI
VillageName,NIM PO TSUEN
VillageName,KAU YUK ROAD
VillageName,MIDDLE HILL ROAD
VillageName,PO WAH YUEN
VillageName,TSOI YUEN TSUEN
VillageName,MO TAT WAN
VillageName,MUI WO KAU TSUEN
VillageName,SIENA TWO
VillageName,LAI CHI YUEN TSUEN
VillageName,PUI O LO WAI TSUEN
VillageName,TAI WO
VillageName,SAN TAU
VillageName,CHUNG MEI
VillageName,TUNG HANG MEI TSUEN
VillageName,SUN LUNG WAI
VillageName,HA LING PEI
VillageName,KO LONG
VillageName,TAI WAN SAN TSUEN
VillageName,TAI SHAN EAST
VillageName,MA PO TSUEN
VillageName,WAN TSAI
VillageName,TONG FUK
VillageName,YUNG SHUE LONG NEW VILLAGE
VillageName,TAI HO SAN TSUEN
VillageName,SHA LO WAN CHUNG HAU
VillageName,LO UK TSUEN
VillageName,WO TIN
VillageName,SHA LO WAN SAN TSUEN
VillageName,LAI CHI YUEN
VillageName,PAK NGAN HEUNG
VillageName,NAM SHE TONG
VillageName,TAI LING TSUEN
VillageName,SAI WAN CARE VILLAGE
VillageName,SHA LO WAN TSUEN 3RD LANE
VillageName,TUNG KOON SAN TSUEN
VillageName,WAI TSAI TSUEN
VillageName,TAI WO TSUEN
VillageName,TAI KWAI WAN SAN TSUEN
VillageName,WAI TSAI TSENG SAN TSUEN
VillageName,HUNG SHING YE
VillageName,TA SHUI WAN
VillageName,SHEK TSAI PO STREET SECTION A
VillageName,TAI SHAN WEST
VillageName,TAI PENG
VillageName,SIU KWAI WAN
VillageName,HAM TIN SAN TSUEN
VillageName,PAK KOK KAU TSUEN
VillageName,SHUI HAU
VillageName,O TSAI
VillageName,YUNG SHUE HA
VillageName,PUI O SAN WAI TSUEN
VillageName,FAN KWAI TONG
VillageName,NGAU KWU LONG
VillageName,SHAN HA
VillageName,SAN SHEK WAN
VillageName,SHAP LONG CHUNG HAU
VillageName,MO TAT OLD VILLAGE
VillageName,TAI YUEN VILLAGE
VillageName,SHEK LAU PO
VillageName,PAK SHE SAN TSUEN
VillageName,SAN TSUEN
VillageName,TAI LONG WAN TSUEN
VillageName,SHA TSUI TAU
VillageName,SHA PO NEW VILLAGE
VillageName,WANG LONG
VillageName,TAI SHAN CENTRAL
VillageName,CHEUNG SHA SHEUNG TSUEN
VillageName,HAM TIN KAU TSUEN
VillageName,YUNG SHUE LONG OLD VILLAGE
VillageName,LONG TSAI TSUEN
VillageName,TAI YUEN NEW VILLAGE
VillageName,YUNG SHUE LING
VillageName,PAK KOK SAN TSUEN
VillageName,LO SO SHING
VillageName,NGA KAU WAN
VillageName,HANG MEI
VillageName,LUK WU
VillageName,ROUND TABLE 1ST VILLAGE
VillageName,SHAP LONG KAU TSUEN
VillageName,LUNG TSENG TAU
VillageName,SHA PO OLD VILLAGE
VillageName,MA WAN NEW VILLAGE
VillageName,WANG HANG VILLAGE
VillageName,LO TIK WAN
VillageName,TAI LONG
VillageName,MO TAT NEW VILLAGE
VillageName,CHEUNG SHA
VillageName,SHAP LONG SAN TSUEN
VillageName,WONG KA WAI
VillageName,YUE KWONG TSUEN
VillageName,HO KING TOI
VillageName,LUNG MEI TSUEN
VillageName,FUI YIU HA
VillageName,PAK MONG
VillageName,SELF HELP CARE VILLAGE
VillageName,SHAU SHAN TERRACE
VillageName,UPPER KEUNG SHAN
VillageName,TAI WAN TO
VillageName,TAI WAN KAU TSUEN
VillageName,CHEUNG SHA LAN
VillageName,CHUNG HING PRAYA STREET
VillageName,KAU LIU
VillageName,PAK LEE VILLAGE
VillageName,SHEK LI KA NAM
VillageName,WAI TSAI SHAN TING  SAN TSUEN
VillageName,TIN SAM
VillageName,WAI TSAI SHAN TING TSUEN
VillageName,NAM WAN SHAN TING SAN TSUEN
VillageName,NAM WAN
VillageName,NGONG PING TSUEN
VillageName,NAM WAN TAI YAT SAN TSUEN
VillageName,FU KONG SHAN
VillageName,THE PEAK CHEUNG CHAU
VillageName,CHEUNG PO CHAI ROAD
VillageName,TUNG O
VillageName,MONG TUNG WAN
VillageName,KAM SHAN TERRACE
VillageName,TAI KWAI WAN
VillageName,HA TSUEN
VillageName,FAN LAU TSUEN
VillageName,LING TSUI TAU
VillageName,TAI O SHA CHAI MIN
VillageName,PENNY'S BAY COMMUNITY ISOLATION FAC
VillageName,TAI O SAN SHA
VillageName,MAN KOK TSUI VILLAGE
VillageName,TAI WAN NAM
VillageName,TAI SHEK HAU PUN SHAN
VillageName,TONG FUK TSUEN
VillageName,LO WAI TSUEN
VillageName,TAI O
VillageName,WANG LONG VILLAGE
VillageName,SHUN YEE TSUEN
VillageName,YING SIN LEUNG CARE VILLAGE
VillageName,KAU TSUEN
VillageName,SAN HING PRAYA ROAD
VillageName,SHAM WAT TSUEN
VillageName,ROUND TABLE THIRD VILLAGE
VillageName,ROUND TABLE FIRST VILLAGE
VillageName,MAN HING TERRACE
VillageName,CHUNG HING PUN SHAN ROAD
VillageName,MA WAN CHUNG VILLAGE
VillageName,NAM CHUNG SAN TSUEN
VillageName,MUI WO
VillageName,ROUND TABLE VILLAGE
VillageName,TEI PO NEW VILLAGE
VillageName,TAI PENG VILLAGE
VillageName,NIM SHUE WAN TSUEN
VillageName,NGAU AU TSUEN
VillageName,1ST LANE SHA LO WAN TSUEN
VillageName,2ND LANE SHA LO WAN TSUEN
VillageName,3RD LANE SHA LO WAN TSUEN
VillageName,4TH LANE SHA LO WAN TSUEN
VillageName,LUK CHAU
VillageName,TAI LONG TSUEN
VillageName,TIN LIU
VillageName,DISCOVERY BAY
VillageName,HA KENG
VillageName,HAM TIN
VillageName,HO KING TERRACE
VillageName,LUK WU TSUEN
VillageName,WANG TONG TSUEN
VillageName,HO KING STREET
VillageName,CHEK LAP KOK NEW VILLAGE
VillageName,HA KEUNG SHAN TSUEN
VillageName,5TH LANE SHA LO WAN TSUEN
VillageName,CHUNG HAU TSUEN
VillageName,KO LONG VILLAGE
VillageName,LAM CHE
VillageName,SAN TAU TSUEN
VillageName,TAI PING STREET
VillageName,WAI TSAI SHAN TING SAN TSUEN
VillageName,CHUNG TSAI
VillageName,MA WAN CHUNG TSUEN
VillageName,PUI O AU
VillageName,WING ON BACK STREET
VillageName,LO SO SHING VILLAGE
VillageName,NAM WAN SHAN TING TSUEN
VillageName,TEI TONG TSAI
VillageName,TAI SHEK HAU
VillageName,NGAU UM PAI
VillageName,WONG NAI UK TSUEN
VillageName,TUNG TAI NAM ROAD
VillageName,SIXTH STREET
VillageName,TING KWAI FONG
VillageName,SECOND LANE SHA LO WAN TSUEN
VillageName,SUN FUNG TSUEN
VillageName,SIN YAN TSENG
VillageName,YUNG SHUE WAN
VillageName,KAU WA KENG
VillageName,SAN UK RESITE VILLAGE
VillageName,TAI WONG HA RESITE VILLAGE
VillageName,KAU WA KENG SAN TSUEN
VillageName,LAM TIN RESITE VILLAGE
VillageName,TSING YI LUTHERAN NEW VILLAGE
VillageName,CHUNG MEI LO UK VILLAGE
VillageName,YIM TIN KOK RESITE VILLAGE
VillageName,HA KWAI CHUNG VILLAGE
VillageName,CHUNG SHAN TERRACE
VillageName,ST. PAUL'S VILLAGE
VillageName,CHEUNG HANG VILLAGE
VillageName,TSING YI FISHERMEN VILLAGE
VillageName,KAU WA KENG PUMPING STATION UPPER VILLAGE
VillageName,MOON TSAI TONG
VillageName,CHEUNG HANG TSUEN
VillageName,TSING YU NEW VILLAGE
VillageName,TSING YI HUI
VillageName,ST PAUL'S VILLAGE
VillageName,CHUNG KWAI CHUNG TSUEN
VillageName,TSING FAI SAN TSUEN
VillageName,CHUNG MEI LO UK RESITED VILLAGE
VillageName,KWAN MUN HAU TSUEN
VillageName,SAM KA TSUEN
